episode,total_reward,loss,epsilon
1,0.0,1.648889883654192e-05,0.995
2,1.0,1.727798553474713e-05,0.990025
3,0.0,1.6483987565152347e-05,0.985074875
4,0.0,1.6446070731035434e-05,0.9801495006250001
5,0.0,1.644189251237549e-05,0.9752487531218751
6,0.0,1.1577904433790476e-11,0.9703725093562657
7,1.0,1.6579855582676828e-05,0.9655206468094844
8,2.0,0.028727592900395393,0.960693043575437
9,2.0,0.0009252454619854689,0.9558895783575597
10,2.0,0.029574912041425705,0.9511101304657719
11,2.0,0.030696075409650803,0.946354579813443
12,3.0,7.662792995688505e-06,0.9416228069143757
13,2.0,0.028247827664017677,0.9369146928798039
14,2.0,0.00025601903325878084,0.9322301194154049
15,0.0,1.4616117344212753e-11,0.9275689688183278
16,0.0,6.884749745950103e-05,0.9229311239742362
17,0.0,6.886501068947837e-05,0.918316468354365
18,4.0,0.0015007712645456195,0.9137248860125932
19,0.0,3.6572117778632673e-08,0.9091562615825302
20,0.0,6.696546188322827e-05,0.9046104802746175
21,2.0,6.605638191103935e-05,0.9000874278732445
22,0.0,4.998903513353525e-10,0.8955869907338783
23,3.0,0.028809180483222008,0.8911090557802088
24,1.0,1.9006642105523497e-05,0.8866535105013078
25,1.0,0.02829931676387787,0.8822202429488013
26,1.0,2.0155653146503028e-06,0.8778091417340573
27,2.0,0.0019248361932113767,0.8734200960253871
28,2.0,0.0020599577110260725,0.8690529955452602
29,3.0,0.002267383271828294,0.8647077305675338
30,1.0,1.0749751027105958e-06,0.8603841919146962
31,6.0,0.002637520432472229,0.8560822709551227
32,1.0,0.0005971448263153434,0.851801859600347
33,3.0,0.001984803471714258,0.8475428503023453
34,1.0,0.001686667907051742,0.8433051360508336
35,0.0,0.0012869957135990262,0.8390886103705794
36,1.0,4.3548587314035103e-07,0.8348931673187264
37,3.0,0.03134610131382942,0.8307187014821328
38,2.0,0.03096306324005127,0.8265651079747222
39,1.0,0.001853772671893239,0.8224322824348486
40,2.0,0.0018416072707623243,0.8183201210226743
41,3.0,0.031755588948726654,0.8142285204175609
42,2.0,0.0038626263849437237,0.810157377815473
43,0.0,5.906965583335477e-09,0.8061065909263957
44,0.0,7.002841417858008e-09,0.8020760579717637
45,1.0,0.0068668182939291,0.798065677681905
46,3.0,0.004141620825976133,0.7940753492934954
47,2.0,0.004044311586767435,0.7901049725470279
48,2.0,0.00016884533397387713,0.7861544476842928
49,2.0,0.0038371491245925426,0.7822236754458713
50,2.0,0.03315802291035652,0.778312557068642
51,1.0,4.2560805013636127e-07,0.7744209942832988
52,2.0,0.0364222377538681,0.7705488893118823
53,2.0,0.006070706993341446,0.7666961448653229
54,3.0,0.029749926179647446,0.7628626641409962
55,1.0,0.0066656130366027355,0.7590483508202912
56,1.0,4.6000216968877794e-08,0.7552531090661897
57,0.0,9.751608587293958e-08,0.7514768435208588
58,3.0,0.005415619816631079,0.7477194593032545
59,0.0,0.005210900213569403,0.7439808620067382
60,0.0,0.005213810130953789,0.7402609576967045
61,1.0,1.7773629679140868e-08,0.736559652908221
62,0.0,0.005228162277489901,0.7328768546436799
63,8.0,0.02932955138385296,0.7292124703704616
64,0.0,0.00637604808434844,0.7255664080186093
65,3.0,0.035567756742239,0.7219385759785162
66,1.0,0.006645910441875458,0.7183288830986236
67,0.0,9.059466776761838e-08,0.7147372386831305
68,1.0,0.006018598098307848,0.7111635524897149
69,2.0,0.007156179752200842,0.7076077347272662
70,0.0,1.9988792843150804e-08,0.7040696960536299
71,1.0,7.724248462182004e-06,0.7005493475733617
72,3.0,1.4054687653697329e-06,0.697046600835495
73,3.0,0.00839621014893055,0.6935613678313175
74,0.0,0.007262393832206726,0.6900935609921609
75,0.0,0.007227426860481501,0.6866430931872001
76,1.0,0.03691273555159569,0.6832098777212641
77,0.0,1.5105271700122103e-07,0.6797938283326578
78,0.0,0.0072572072967886925,0.6763948591909945
79,3.0,0.007810045965015888,0.6730128848950395
80,4.0,0.02883083000779152,0.6696478204705644
81,2.0,0.03871556371450424,0.6662995813682115
82,3.0,0.03968387842178345,0.6629680834613705
83,0.0,0.010103115811944008,0.6596532430440636
84,0.0,0.010122736915946007,0.6563549768288433
85,0.0,0.010120014660060406,0.653073201944699
86,2.0,0.028586285188794136,0.6498078359349755
87,1.0,0.028549538925290108,0.6465587967553006
88,2.0,0.029045816510915756,0.6433260027715241
89,1.0,0.012133987620472908,0.6401093727576664
90,1.0,0.012010438367724419,0.6369088258938781
91,2.0,0.002737427828833461,0.6337242817644086
92,1.0,0.029341643676161766,0.6305556603555866
93,4.0,0.04410377889871597,0.6274028820538087
94,3.0,0.0019942624494433403,0.6242658676435396
95,2.0,0.04611320048570633,0.6211445383053219
96,0.0,4.736195791110731e-08,0.6180388156137953
97,2.0,0.029097748920321465,0.6149486215357263
98,0.0,0.01444497425109148,0.6118738784280476
99,2.0,0.013980947434902191,0.6088145090359074
100,3.0,0.02992361970245838,0.6057704364907278
101,0.0,5.581564437306952e-07,0.6027415843082742
102,1.0,0.014652220532298088,0.5997278763867329
103,0.0,0.014144963584840298,0.5967292370047992
104,1.0,5.245089596428443e-06,0.5937455908197752
105,1.0,0.01386723481118679,0.5907768628656763
106,0.0,0.013883390463888645,0.5878229785513479
107,6.0,0.028750136494636536,0.5848838636585911
108,3.0,0.014960182830691338,0.5819594443402982
109,1.0,0.013870025984942913,0.5790496471185967
110,4.0,0.01381449680775404,0.5761543988830038
111,4.0,0.043661002069711685,0.5732736268885887
112,2.0,0.015969622880220413,0.5704072587541458
113,3.0,0.013589965179562569,0.567555222460375
114,2.0,0.013960477896034718,0.5647174463480732
115,1.0,0.014208740554749966,0.5618938591163328
116,5.0,0.0011463246773928404,0.5590843898207511
117,4.0,0.014480690471827984,0.5562889678716474
118,5.0,0.02932339534163475,0.5535075230322891
119,1.0,0.014665289781987667,0.5507399854171277
120,0.0,0.014549965038895607,0.547986285490042
121,4.0,0.029911696910858154,0.5452463540625918
122,2.0,0.04553542286157608,0.5425201222922789
123,1.0,0.0011815789621323347,0.5398075216808175
124,1.0,0.014384553767740726,0.5371084840724134
125,3.0,0.029431480914354324,0.5344229416520513
126,4.0,0.015866758301854134,0.531750826943791
127,3.0,0.018437856808304787,0.5290920728090721
128,0.0,0.015396319329738617,0.5264466124450268
129,2.0,0.029894689098000526,0.5238143793828016
130,1.0,0.015069568529725075,0.5211953074858876
131,0.0,0.015078551135957241,0.5185893309484582
132,1.0,0.000619898026343435,0.5159963842937159
133,2.0,0.01463231910020113,0.5134164023722473
134,2.0,0.014654773287475109,0.510849320360386
135,0.0,0.014800500124692917,0.5082950737585841
136,0.0,0.014873230829834938,0.5057535983897912
137,0.0,0.014804810285568237,0.5032248303978422
138,2.0,0.014891248196363449,0.500708706245853
139,2.0,0.018473824486136436,0.4982051627146237
140,2.0,0.018532102927565575,0.49571413690105054
141,2.0,0.017201310023665428,0.4932355662165453
142,1.0,0.000365975487511605,0.4907693883854626
143,2.0,0.04928845539689064,0.4883155414435353
144,1.0,0.00011020492820534855,0.4858739637363176
145,3.0,0.029874779284000397,0.483444593917636
146,2.0,0.01796555519104004,0.4810273709480478
147,3.0,0.0212260689586401,0.47862223409330756
148,11.0,0.022355491295456886,0.47622912292284103
149,3.0,0.05055909603834152,0.4738479773082268
150,2.0,0.0470905601978302,0.47147873742168567
151,2.0,0.0478169322013855,0.46912134373457726
152,1.0,0.01878315582871437,0.46677573701590436
153,1.0,0.029997244477272034,0.46444185833082485
154,4.0,0.021057812497019768,0.46211964903917074
155,3.0,0.052808042615652084,0.4598090507939749
156,0.0,0.019817378371953964,0.457510005540005
157,1.0,0.019742360338568687,0.45522245551230495
158,4.0,0.02073277160525322,0.4529463432347434
159,0.0,0.020444665104150772,0.4506816115185697
160,2.0,0.029047375544905663,0.4484282034609769
161,3.0,0.019699227064847946,0.446186062443672
162,2.0,0.025225451216101646,0.4439551321314536
163,0.0,0.02041327953338623,0.4417353564707963
164,3.0,0.019536828622221947,0.43952667968844233
165,1.0,0.02268831804394722,0.43732904629000013
166,3.0,0.02056196518242359,0.4351424010585501
167,4.0,0.0008399973157793283,0.43296668905325736
168,3.0,0.05375240370631218,0.43080185560799106
169,2.0,0.0009360717958770692,0.4286478463299511
170,0.0,0.021357880905270576,0.42650460709830135
171,1.0,0.021227823570370674,0.42437208406280985
172,0.0,0.021148493513464928,0.4222502236424958
173,2.0,0.05088413506746292,0.42013897252428334
174,0.0,0.021528612822294235,0.4180382776616619
175,1.0,0.02104552462697029,0.4159480862733536
176,0.0,0.021089322865009308,0.41386834584198684
177,5.0,0.029986759647727013,0.4117990041127769
178,3.0,0.021139444783329964,0.40974000909221303
179,1.0,1.2585716149260406e-06,0.40769130904675194
180,1.0,4.29103420174215e-06,0.40565285250151817
181,0.0,3.1514284728473285e-06,0.4036245882390106
182,2.0,2.2581198209081776e-06,0.4016064652978155
183,1.0,0.023146366700530052,0.3995984329713264
184,2.0,0.023470202460885048,0.3976004408064698
185,0.0,0.023494193330407143,0.39561243860243744
186,6.0,0.023666419088840485,0.3936343764094253
187,2.0,0.023406581953167915,0.39166620452737816
188,2.0,0.026748476549983025,0.3897078735047413
189,4.0,0.053980790078639984,0.3877593341372176
190,0.0,2.0403342659847112e-06,0.3858205374665315
191,2.0,4.130311481276294e-06,0.38389143477919885
192,3.0,0.05220640078186989,0.3819719776053028
193,2.0,2.4069211121968692e-06,0.3800621177172763
194,2.0,9.367785241920501e-05,0.37816180712868996
195,1.0,0.024054953828454018,0.37627099809304654
196,0.0,0.022977208718657494,0.3743896431025813
197,2.0,0.05536167696118355,0.37251769488706843
198,4.0,0.024647250771522522,0.3706551064126331
199,3.0,0.05472058057785034,0.36880183088056995
200,3.0,0.026452435180544853,0.3669578217261671
201,7.0,0.06109221279621124,0.36512303261753626
202,2.0,0.05456306040287018,0.3632974174544486
203,2.0,0.022649696096777916,0.3614809303671764
204,3.0,0.02422517165541649,0.3596735257153405
205,0.0,0.02420327439904213,0.3578751580867638
206,1.0,4.391086349642137e-06,0.35608578229633
207,3.0,0.029889076948165894,0.3543053533848483
208,4.0,0.02959492802619934,0.35253382661792404
209,2.0,0.023943273350596428,0.3507711574848344
210,2.0,0.023403160274028778,0.34901730169741024
211,1.0,0.030719909816980362,0.3472722151889232
212,3.0,0.029727626591920853,0.3455358541129786
213,4.0,0.05793602764606476,0.3438081748424137
214,2.0,0.02584083378314972,0.3420891339682016
215,2.0,0.026159342378377914,0.3403786882983606
216,0.0,1.9794239051407203e-05,0.3386767948568688
217,3.0,0.02875875122845173,0.33698341088258443
218,0.0,0.028923410922288895,0.3352984938281715
219,0.0,0.02894596941769123,0.33362200135903064
220,0.0,0.02893010526895523,0.33195389135223546
221,1.0,0.029775172472000122,0.3302941218954743
222,2.0,0.0007566536078229547,0.32864265128599696
223,2.0,0.029865164309740067,0.326999438029567
224,5.0,0.0016411172691732645,0.3253644408394192
225,3.0,0.02970070019364357,0.3237376186352221
226,4.0,0.03303835168480873,0.322118930542046
227,2.0,0.03139127418398857,0.32050833588933575
228,3.0,4.413523129187524e-05,0.31890579420988907
229,4.0,0.00011166262265760452,0.3173112652388396
230,1.0,0.035250745713710785,0.3157247089126454
231,3.0,0.000443910073954612,0.3141460853680822
232,3.0,0.00011359552445355803,0.3125753549412418
233,1.0,0.06927865743637085,0.31101247816653554
234,1.0,0.04284133389592171,0.30945741577570285
235,2.0,0.06765014678239822,0.3079101286968243
236,0.0,0.0376623198390007,0.3063705780533402
237,3.0,0.0431215763092041,0.30483872516307353
238,0.0,2.4287553301860498e-08,0.3033145315372582
239,3.0,1.2636868632398546e-05,0.3017979588795719
240,2.0,3.4300035167689202e-06,0.30028896908517405
241,2.0,0.0006426859181374311,0.2987875242397482
242,0.0,2.314982339157723e-06,0.29729358661854943
243,2.0,0.04290495067834854,0.29580711868545667
244,2.0,0.04003286361694336,0.2943280830920294
245,1.0,2.025669346039649e-06,0.29285644267656924
246,0.0,5.9887272072955966e-05,0.2913921604631864
247,2.0,0.001690196106210351,0.28993519966087045
248,1.0,0.03921167552471161,0.2884855236625661
249,2.0,3.4241684261360206e-06,0.28704309604425327
250,0.0,2.980576755362563e-05,0.285607880564032
251,3.0,0.04000603035092354,0.28417984116121187
252,1.0,0.00014642080350313336,0.2827589419554058
253,1.0,5.084844815428369e-05,0.28134514724562876
254,1.0,0.07467713952064514,0.2799384215094006
255,3.0,0.04054443538188934,0.27853872940185365
256,1.0,0.07506708800792694,0.27714603575484437
257,2.0,0.07287273555994034,0.2757603055760701
258,5.0,0.07411111146211624,0.2743815040481898
259,4.0,0.04125926271080971,0.2730095965279488
260,0.0,0.041260719299316406,0.27164454854530906
261,1.0,0.041085612028837204,0.2702863258025825
262,4.0,0.046261101961135864,0.2689348941735696
263,5.0,0.030087729915976524,0.26759021970270175
264,2.0,0.07241404056549072,0.2662522686041882
265,2.0,0.039417754858732224,0.2649210072611673
266,4.0,0.041642311960458755,0.26359640222486147
267,1.0,0.03892897069454193,0.26227842021373715
268,2.0,0.0003757663653232157,0.2609670281126685
269,2.0,0.04025840386748314,0.25966219297210513
270,0.0,0.039715155959129333,0.2583638820072446
271,4.0,0.07123520225286484,0.2570720625972084
272,3.0,0.043412946164608,0.25578670228422234
273,2.0,0.00015750144666526467,0.25450776877280124
274,1.0,0.030630450695753098,0.2532352299289372
275,2.0,0.04823105037212372,0.2519690537792925
276,2.0,0.04437359422445297,0.2507092085103961
277,0.0,3.095652209594846e-05,0.2494556624678441
278,4.0,0.04548576474189758,0.24820838415550486
279,2.0,1.8645071122591617e-06,0.24696734223472733
280,4.0,0.03029000572860241,0.2457325055235537
281,4.0,0.0759507268667221,0.24450384299593592
282,2.0,0.043331678956747055,0.24328132378095624
283,0.0,0.04419032484292984,0.24206491716205145
284,7.0,0.06340464949607849,0.2408545925762412
285,2.0,0.04378855600953102,0.23965031961336
286,1.0,0.042674124240875244,0.2384520680152932
287,2.0,0.07582655549049377,0.23725980767521673
288,2.0,8.46519526476186e-07,0.23607350863684065
289,0.0,0.04304523766040802,0.23489314109365644
290,0.0,0.04231495410203934,0.23371867538818816
291,0.0,0.04237232357263565,0.23255008201124722
292,7.0,0.5288892984390259,0.231387331601191
293,7.0,0.5337541103363037,0.23023039494318503
294,2.0,0.07456793636083603,0.2290792429684691
295,1.0,9.409693120687734e-06,0.22793384675362674
296,3.0,0.07510190457105637,0.22679417751985861
297,1.0,0.042457032948732376,0.22566020663225933
298,1.0,0.07610786706209183,0.22453190559909803
299,3.0,0.04227027669548988,0.22340924607110255
300,2.0,0.029802212491631508,0.22229219984074702
301,1.0,0.07158434391021729,0.2211807388415433
302,0.0,1.3083383237244561e-05,0.22007483514733558
303,2.0,0.03006763756275177,0.2189744609715989
304,2.0,0.04129564389586449,0.2178795886667409
305,1.0,0.07326164096593857,0.2167901907234072
306,0.0,0.04129092022776604,0.21570623976979014
307,0.0,0.04143451899290085,0.21462770857094118
308,0.0,0.04124918952584267,0.21355457002808648
309,2.0,0.030199535191059113,0.21248679717794605
310,1.0,0.041185785084962845,0.21142436319205632
311,1.0,5.3244521041051485e-06,0.21036724137609603
312,1.0,0.02978689968585968,0.20931540516921554
313,0.0,0.040439434349536896,0.20826882814336947
314,3.0,0.0005757425678893924,0.20722748400265262
315,3.0,0.04050192981958389,0.20619134658263935
316,2.0,0.06945499032735825,0.20516038984972615
317,2.0,0.03897302225232124,0.2041345879004775
318,1.0,0.03995325416326523,0.2031139149609751
319,2.0,0.03811076655983925,0.20209834538617025
320,3.0,0.0733141154050827,0.2010878536592394
321,2.0,3.42862085744855e-06,0.2000824143909432
322,2.0,0.04098544269800186,0.19908200231898848
323,2.0,2.0896193746011704e-05,0.19808659230739353
324,3.0,1.0279622983944137e-05,0.19709615934585656
325,2.0,0.04188588261604309,0.19611067854912728
326,3.0,3.408271004445851e-05,0.19513012515638165
327,1.0,0.0020188698545098305,0.19415447453059972
328,1.0,0.029916344210505486,0.19318370215794672
329,2.0,0.07411083579063416,0.192217783647157
330,3.0,0.044207893311977386,0.1912566947289212
331,2.0,0.0301858838647604,0.1903004112552766
332,6.0,3.5762463085120544e-05,0.18934890919900021
333,1.0,0.002429613843560219,0.18840216465300522
334,2.0,0.07534367591142654,0.18746015382974018
335,2.0,0.04213140159845352,0.1865228530605915
336,3.0,0.04163721576333046,0.18559023879528855
337,1.0,0.0748286247253418,0.1846622876013121
338,2.0,0.0005282859201543033,0.18373897616330553
339,0.0,0.04211024194955826,0.182820281282489
340,1.0,0.07073678076267242,0.18190617987607657
341,0.0,0.04096018522977829,0.18099664897669618
342,0.0,0.04054800793528557,0.1800916657318127
343,5.0,0.07199934870004654,0.17919120740315364
344,1.0,2.522183649489307e-06,0.17829525136613786
345,3.0,1.3336194371049714e-08,0.17740377510930716
346,1.0,0.03041265718638897,0.17651675623376062
347,3.0,0.04030190408229828,0.1756341724525918
348,1.0,0.07146994769573212,0.17475600159032884
349,3.0,0.07029146701097488,0.17388222158237718
350,2.0,0.07207293808460236,0.1730128104744653
351,3.0,0.069459468126297,0.17214774642209296
352,2.0,6.049462535884231e-05,0.1712870076899825
353,2.0,0.0013016783632338047,0.17043057265153258
354,2.0,0.07126174867153168,0.16957841978827493
355,2.0,0.06767991185188293,0.16873052768933355
356,0.0,0.038916319608688354,0.1678868750508869
357,2.0,2.6071711545228027e-05,0.16704744067563246
358,1.0,6.547865632455796e-05,0.1662122034722543
359,2.0,2.1881833163206466e-05,0.16538114245489302
360,2.0,0.03755759447813034,0.16455423674261854
361,3.0,0.000410863955039531,0.16373146555890544
362,3.0,0.06996436417102814,0.16291280823111093
363,3.0,0.06909829378128052,0.16209824418995536
364,2.0,0.037569038569927216,0.16128775296900558
365,3.0,0.0374436154961586,0.16048131420416054
366,3.0,0.07266046106815338,0.15967890763313974
367,4.0,0.00036641155020333827,0.15888051309497406
368,3.0,0.037381771951913834,0.1580861105294992
369,1.0,0.030245482921600342,0.1572956799768517
370,0.0,3.0498933483613655e-05,0.15650920157696743
371,3.0,0.03822600841522217,0.1557266555690826
372,3.0,0.030142243951559067,0.1549480222912372
373,2.0,0.06733253598213196,0.15417328217978102
374,1.0,0.06794505566358566,0.1534024157688821
375,2.0,0.03967546671628952,0.1526354036900377
376,2.0,0.06812329590320587,0.1518722266715875
377,3.0,0.06748244166374207,0.15111286553822956
378,3.0,0.030167270451784134,0.15035730121053842
379,3.0,0.06683340668678284,0.14960551470448571
380,2.0,1.3673099601874128e-05,0.14885748713096328
381,3.0,0.03614455461502075,0.14811319969530845
382,1.0,0.040139421820640564,0.1473726336968319
383,11.0,0.52867192029953,0.14663577052834775
384,7.0,0.5181010961532593,0.14590259167570602
385,2.0,2.891270924010314e-05,0.1451730787173275
386,0.0,0.03719043359160423,0.14444721332374086
387,1.0,0.0390021950006485,0.14372497725712216
388,5.0,0.042302485555410385,0.14300635237083656
389,2.0,5.94516734508943e-07,0.14229132060898236
390,2.0,0.03845735266804695,0.14157986400593744
391,2.0,0.03911653161048889,0.14087196468590776
392,2.0,2.7720213324755605e-07,0.14016760486247823
393,3.0,0.04022525995969772,0.13946676683816583
394,1.0,0.07240258902311325,0.138769433003975
395,4.0,0.04344650357961655,0.13807558583895513
396,1.0,0.040600504726171494,0.13738520790976036
397,0.0,0.0406520813703537,0.13669828187021155
398,4.0,5.723438334825914e-06,0.13601479046086049
399,3.0,0.041393451392650604,0.1353347165085562
400,2.0,0.04043365269899368,0.1346580429260134
401,2.0,0.042232077568769455,0.13398475271138335
402,1.0,0.07477510720491409,0.13331482894782642
403,1.0,0.04227111116051674,0.13264825480308728
404,3.0,0.07445607334375381,0.13198501352907185
405,2.0,0.07513155043125153,0.1313250884614265
406,2.0,0.07329137623310089,0.13066846301911936
407,2.0,6.230754479474854e-06,0.13001512070402377
408,2.0,0.0012949538649991155,0.12936504510050365
409,3.0,0.04079890623688698,0.12871821987500112
410,2.0,0.07156484574079514,0.12807462877562611
411,0.0,0.0399557501077652,0.12743425563174798
412,5.0,0.00035888850106857717,0.12679708435358925
413,1.0,2.470330764481332e-05,0.1261630989318213
414,1.0,0.037370115518569946,0.1255322834371622
415,0.0,0.0004081332590430975,0.12490462201997637
416,0.0,0.038307350128889084,0.1242800989098765
417,0.0,0.03835005313158035,0.12365869841532712
418,0.0,0.03848130628466606,0.12304040492325048
419,5.0,0.06945691257715225,0.12242520289863423
420,4.0,0.04187802970409393,0.12181307688414106
421,3.0,0.07078275084495544,0.12120401149972035
422,1.0,0.03822730481624603,0.12059799144222175
423,1.0,0.02954927645623684,0.11999500148501063
424,2.0,0.03831016272306442,0.11939502647758558
425,3.0,0.07184673845767975,0.11879805134519765
426,5.0,0.04167824238538742,0.11820406108847166
427,7.0,0.5312721133232117,0.1176130407830293
428,3.0,0.04214825481176376,0.11702497557911415
429,3.0,0.00011369108688086271,0.11643985070121858
430,2.0,0.04097115248441696,0.11585765144771248
431,0.0,0.0410141684114933,0.11527836319047392
432,1.0,0.07319428026676178,0.11470197137452155
433,2.0,0.03038124181330204,0.11412846151764894
434,2.0,0.041755642741918564,0.1135578192100607
435,2.0,0.04653070494532585,0.11299003011401039
436,2.0,0.04334880784153938,0.11242507996344034
437,4.0,0.042682453989982605,0.11186295456362313
438,2.0,0.04320456087589264,0.11130363979080501
439,1.0,0.030163420364260674,0.11074712159185099
440,7.0,0.06117831915616989,0.11019338598389174
441,4.0,0.04190155863761902,0.10964241905397228
442,2.0,0.0413382351398468,0.10909420695870241
443,2.0,0.041486162692308426,0.1085487359239089
444,2.0,0.04461841657757759,0.10800599224428936
445,1.0,0.029640192165970802,0.10746596228306791
446,0.0,0.0423484742641449,0.10692863247165257
447,2.0,2.2159053969517117e-06,0.1063939893092943
448,2.0,0.044033121317625046,0.10586201936274783
449,0.0,0.0448029525578022,0.10533270926593409
450,2.0,0.04421301558613777,0.10480604571960442
451,3.0,0.04650728404521942,0.1042820154910064
452,2.0,0.02950325980782509,0.10376060541355137
453,2.0,0.04555012285709381,0.1032418023864836
454,0.0,0.04315317049622536,0.10272559337455119
455,2.0,1.6846628568600863e-05,0.10221196540767843
456,9.0,0.5298325419425964,0.10170090558064004
457,3.0,0.07385127246379852,0.10119240105273684
458,4.0,0.030205773189663887,0.10068643904747315
459,2.0,1.1047403859265614e-05,0.10018300685223579
460,7.0,0.5357640981674194,0.1
461,3.0,0.04519231244921684,0.1
462,1.0,0.07556375861167908,0.1
463,0.0,0.046393632888793945,0.1
464,0.0,0.04706653580069542,0.1
465,3.0,0.045505501329898834,0.1
466,2.0,0.04671449586749077,0.1
467,0.0,0.0017840376822277904,0.1
468,5.0,0.04829081520438194,0.1
469,3.0,0.0748274102807045,0.1
470,0.0,0.042954422533512115,0.1
471,1.0,0.07482533156871796,0.1
472,2.0,0.04467174783349037,0.1
473,2.0,0.07769803702831268,0.1
474,2.0,0.04480186104774475,0.1
475,2.0,0.04356318712234497,0.1
476,7.0,0.042783770710229874,0.1
477,1.0,0.04392499476671219,0.1
478,3.0,0.044742461293935776,0.1
479,2.0,0.04292062297463417,0.1
480,0.0,0.000161912917974405,0.1
481,0.0,8.29059808893362e-06,0.1
482,0.0,0.044987164437770844,0.1
483,1.0,0.04436329007148743,0.1
484,0.0,0.046409670263528824,0.1
485,3.0,0.0467439629137516,0.1
486,3.0,0.04430829733610153,0.1
487,1.0,9.779950005395222e-07,0.1
488,2.0,0.07407601177692413,0.1
489,5.0,0.030216990038752556,0.1
490,3.0,0.07683183252811432,0.1
491,3.0,0.07586158066987991,0.1
492,3.0,0.0301560927182436,0.1
493,2.0,0.03036966547369957,0.1
494,1.0,0.000690053275320679,0.1
495,7.0,0.5361949801445007,0.1
496,3.0,1.2074324331479147e-05,0.1
497,3.0,2.3118571334634908e-05,0.1
498,0.0,0.04373723268508911,0.1
499,3.0,0.04338785260915756,0.1
500,2.0,1.4706208730785875e-06,0.1
